python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement1RulesLB0.001C0.5NR10000.csv UsefulFold1.csv,,,,,,,,,,
nonCoveredInstances,8,,,,,,,,,55
instanceCount,322,,,,,,,,,2247
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement8RulesLB0.001C0.6NR10000.csv UsefulFold8.csv,,,,,,,,,,
fullyCoveredInstances,314,,,,,,,,,2457
partiallyCoveredInstances,1,,,,,,,,,50
nonCoveredInstances,4,,,,,,,,,59
instanceCount,319,,,,,,,,,2566
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement9RulesLB0.001C0.6NR10000.csv UsefulFold9.csv,,,,,,,,,,
fullyCoveredInstances,286,,,,,,,,,2743
partiallyCoveredInstances,8,,,,,,,,,58
nonCoveredInstances,9,,,,,,,,,68
instanceCount,303,,,,,,,,,2869
python getRuleAccuracy.py ComplementRulesLB0.001C0.6NR10000/Complement10RulesLB0.001C0.6NR10000.csv UsefulFold10.csv,,,,,,,,,,
fullyCoveredInstances,301,,,,,,,,,3044
partiallyCoveredInstances,8,,,,,,,,,66
nonCoveredInstances,6,,,,,,,,,74
instanceCount,315,,,,,,,,,3184
,,,,,,,,,,
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement1RulesLB0.001C0.7NR10000.csv UsefulFold1.csv,,,,,,,,,,
fullyCoveredInstances,312,,,,,,,,,312
partiallyCoveredInstances,2,,,,,,,,,2
nonCoveredInstances,11,,,,,,,,,11
instanceCount,325,,,,,,,,,325
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement2RulesLB0.001C0.7NR10000.csv UsefulFold2.csv,,,,,,,,,,
fullyCoveredInstances,284,,,,,,,,,596
partiallyCoveredInstances,7,,,,,,,,,9
nonCoveredInstances,21,,,,,,,,,32
instanceCount,312,,,,,,,,,637
